許可證號碼,普通名稱,廠牌名稱,劑型,含量,Under Permit ,混合,廠商名稱,國外原製造廠,有效日期,備註,標示,條碼,使用範圍
農藥原進            00081,撲滅寧,住友速滅寧,,94(%) (w/w),,,台灣住友化學股份有限公司,"SUMITOMO CHEMICAL CO., LTD. OSAKA WORKS",118-09-18,,標示,條碼,使用範圍
農藥原進            00085,賽達松,,,90(%) (w/w),UP,,東鋒股份有限公司,"JIANGSU TENGLONG BIOLOGICAL & MEDICINAL CO., LTD.",118-09-10,,標示,條碼,使用範圍
農藥原進            00094,脫克松,住友保綠寧,,93(%) (w/w),,,台灣住友化學股份有限公司,"SUMITOMO CHEMICAL CO., LTD. OITA WORKS",119-01-05,,標示,條碼,使用範圍
農藥原進            00096,托福松,抗蟲得,,88.6(%) (w/w),,,達通國際興業有限公司,AMVAC CHEMICAL CORPORATION,114-06-02,,標示,條碼,使用範圍
農藥原進            00099,克熱淨,,,40(%) (w/w),,,億豐農化廠股份有限公司,"NIPPON SODA CO., LTD. NIHONGI PLANT",119-01-19,,標示,條碼,使用範圍
農藥原進            00105,嘉磷塞異丙胺鹽,,,62(%) (w/w),,,台灣拜耳股份有限公司,BAYER CROPSCIENCE LP – LULING PLANT,119-07-17,,標示,條碼,使用範圍
農藥原進            00111,愛殺松,羅翰松,,95(%) (w/w),UP,,翰金興業有限公司,RALLIS INDIA LIMITED,119-03-20,,標示,條碼,使用範圍
農藥原進            00112,大滅松,,,85(%) (w/w),UP,,翰金興業有限公司,RALLIS INDIA LIMITED,119-03-20,,標示,條碼,使用範圍
農藥原進            00117,亞賜圃,富穗王,,96(%) (w/w),UP,,中華民國農會附設各級農會農化廠,"NICHINO SERVICE CO., LTD., KASHIMA PLANT",119-03-09,,標示,條碼,使用範圍
農藥原進            00153,益滅松,,,94(%) (w/w),,,威群國際有限公司,"GENERAL QUIMICA, S.A.",114-11-05,,標示,條碼,使用範圍
農藥原進            00173,勃激素A3,,,90(%) (w/w),,,台灣住友化學股份有限公司,VALENT BIOSCIENCES LLC,114-08-17,,標示,條碼,使用範圍
農藥原進            00176,滅普寧,百賜達克,,94(%) (w/w),UP,,臺灣庵原農藥股份有限公司,"K-I Chemical Industry Co., Ltd.",114-09-22,,標示,條碼,使用範圍
農藥原進            00180,大滅松,,,96(%) (w/w),,,台灣富美實有限公司,CHEMINOVA A/S,114-12-18,,標示,條碼,使用範圍
