許可證號碼,普通名稱,廠牌名稱,劑型,含量,Under Permit ,混合,廠商名稱,國外原製造廠,有效日期,備註,標示,條碼,使用範圍
農藥製              00001,快得保淨,好菌淨,WP  可溼性粉劑,75(%) (w/w),,A,好速化學股份有限公司,,117-10-11,,標示,條碼,使用範圍
農藥製              00007,丁基拉草,草滅除,GR  粒劑,5(%) (w/w),,,瑞芳植物保護股份有限公司,,117-10-01,,標示,條碼,使用範圍
農藥製              00035,撲殺熱,興農掃熱丹,GR  粒劑,6(%) (w/w),,,興農股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00036,撲殺熱,,GR  粒劑,4(%) (w/w),,,興農股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00040,培丹,天霸丹,SP  水溶性粉劑,50(%) (w/w),,,正農化學股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00041,培丹,天霸丹,GR  粒劑,4(%) (w/w),,,正農化學股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00045,毆殺松,金谷粉,SP  水溶性粉劑,75(%) (w/w),,,正農化學股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00046,愛殺松,快殺松,EC  乳劑,46.5(%) (w/w),,,正農化學股份有限公司,,117-10-17,,標示,條碼,使用範圍
農藥製              00050,四氯保淨,多寶,WP  可溼性粉劑,70(%) (w/w),,A,惠光股份有限公司,,117-10-26,,標示,條碼,使用範圍
農藥製              00063,加保利,旺立強,WP  可溼性粉劑,85(%) (w/w),,,聯利農業科技股份有限公司,,118-01-09,,標示,條碼,使用範圍
農藥製              00069,百滅寧,,EC  乳劑,10(%) (w/w),,,洽益化學股份有限公司,,118-02-02,,標示,條碼,使用範圍
農藥製              00081,礦物油,,EC  乳劑,95(%) (w/w),,,台灣正豐植保股份有限公司,,118-03-03,,標示,條碼,使用範圍
農藥製              00085,馬拉松,,EC  乳劑,50(%) (w/w),,,台灣正豐植保股份有限公司,,118-03-03,,標示,條碼,使用範圍
農藥製              00086,百滅寧,猛虎,EC  乳劑,10(%) (w/w),,,台灣正豐植保股份有限公司,,118-03-03,,標示,條碼,使用範圍
農藥製              00093,撲滅松,速克蟲,EC  乳劑,50(%) (w/w),,,聯利農業科技股份有限公司,,118-01-29,,標示,條碼,使用範圍
農藥製              00101,鏈黴素,加鏈,SL  溶液,12.5(%) (w/w),,,光華化學股份有限公司,,118-03-27,,標示,條碼,使用範圍
農藥製              00103,加保扶,矮仔冬瓜,GR  粒劑,3(%) (w/w),,,漢寶工業有限公司,,118-03-27,,標示,條碼,使用範圍
農藥製              00105,愛殺松,蟎全克,EC  乳劑,46.5(%) (w/w),,,興農股份有限公司,,117-11-19,,標示,條碼,使用範圍
農藥製              00112,貝芬替,殺菌讚,WP  可溼性粉劑,50(%) (w/w),,,國豐化學工業股份有限公司,,117-11-19,,標示,條碼,使用範圍
農藥製              00113,樂滅草,,EC  乳劑,12(%) (w/w),,,台灣正豐植保股份有限公司,,117-11-29,,標示,條碼,使用範圍
農藥製              00114,加保利,勇將水仙,SC  水懸劑,40(%) (w/w),,,臺益工業股份有限公司,,117-11-29,,標示,條碼,使用範圍
農藥製              00120,加保利,好保利,WP  可溼性粉劑,85(%) (w/w),,,正農化學股份有限公司,,117-11-29,,標示,條碼,使用範圍
農藥製              00139,撲滅松,,UL  超低容量液劑,95(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-01-09,,標示,條碼,使用範圍
農藥製              00151,快得寧,德城快得寧,WP  可溼性粉劑,40(%) (w/w),,,漢寶工業有限公司,,118-04-05,,標示,條碼,使用範圍
農藥製              00156,丁基拉草,草全除,EC  乳劑,32(%) (w/w),,,興農股份有限公司,,118-05-11,,標示,條碼,使用範圍
農藥製              00163,撲殺熱,稻恩,GR  粒劑,6(%) (w/w),,,富農化學工業股份有限公司,,117-12-08,,標示,條碼,使用範圍
農藥製              00164,撲殺熱,,GR  粒劑,4(%) (w/w),,,富農化學工業股份有限公司,,117-12-08,,標示,條碼,使用範圍
農藥製              00166,芬滅松,毒線蟲,GR  粒劑,10(%) (w/w),,,惠光股份有限公司,,118-01-04,,標示,條碼,使用範圍
農藥製              00167,大滅松,大美速,EC  乳劑,44(%) (w/w),,,惠光股份有限公司,,118-01-29,,標示,條碼,使用範圍
農藥製              00172,毆殺松,大勝毆殺松,SP  水溶性粉劑,75(%) (w/w),,,大勝化學工業股份有限公司,,118-02-27,,標示,條碼,使用範圍
農藥製              00177,納乃得,萬克殺,SP  水溶性粉劑,40(%) (w/w),,,日農科技股份有限公司,,118-03-16,,標示,條碼,使用範圍
農藥製              00182,大滅松,治滅蟲,EC  乳劑,44(%) (w/w),,,國豐化學工業股份有限公司,,118-05-25,,標示,條碼,使用範圍
農藥製              00183,加保扶,好田丹,GR  粒劑,3(%) (w/w),,,聯利農業科技股份有限公司,,118-01-05,,標示,條碼,使用範圍
農藥製              00184,四氯異苯腈,百克靈,WP  可溼性粉劑,75(%) (w/w),,,日農科技股份有限公司,,118-03-16,,標示,條碼,使用範圍
農藥製              00185,丁基拉草,綜好除,EC  乳劑,32(%) (w/w),,,功力化學工業股份有限公司,,118-01-08,,標示,條碼,使用範圍
農藥製              00196,拉草,,EC  乳劑,45.1(%) (w/w),,,億豐農化廠股份有限公司,,118-01-07,,標示,條碼,使用範圍
農藥製              00198,愛殺松,治蟎,EC  乳劑,46.5(%) (w/w),,,惠光股份有限公司,,118-01-07,,標示,條碼,使用範圍
農藥製              00199,芬殺松,滅蟲精,EC  乳劑,50(%) (w/w),,,洽益化學股份有限公司,,118-01-07,,標示,條碼,使用範圍
農藥製              00200,草脫淨,,WP  可溼性粉劑,50(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-01-07,,標示,條碼,使用範圍
農藥製              00210,芬化利,金禧,WP  可溼性粉劑,20(%) (w/w),,,日農科技股份有限公司,,118-01-07,,標示,條碼,使用範圍
農藥製              00216,大滅松,,EC  乳劑,44(%) (w/w),,,東和化學企業股份有限公司,,118-01-29,,標示,條碼,使用範圍
農藥製              00231,丁拉樂滅草,蓋好除,GR  粒劑,4(%) (w/w),,A,興農股份有限公司,,118-01-29,,標示,條碼,使用範圍
農藥製              00232,福瑞松,,GR  粒劑,10(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-01-29,,標示,條碼,使用範圍
農藥製              00237,愛殺松,自立旺,EC  乳劑,46.5(%) (w/w),,,日農科技股份有限公司,,118-01-29,,標示,條碼,使用範圍
農藥製              00241,護粒松,喜稻增,EC  乳劑,50(%) (w/w),,,正農化學股份有限公司,,118-01-29,,標示,條碼,使用範圍
農藥製              00255,礦物油,新通油,EC  乳劑,95(%) (w/w),,,漢寶工業有限公司,,118-03-19,,標示,條碼,使用範圍
農藥製              00261,樂滅草,德城樂滅草,GR  粒劑,2(%) (w/w),,,漢寶工業有限公司,,118-06-17,,標示,條碼,使用範圍
農藥製              00264,加保利,速敏,WP  可溼性粉劑,85(%) (w/w),,,光華化學股份有限公司,,118-07-05,,標示,條碼,使用範圍
農藥製              00268,庫斯蘇力菌SA-12,菜寶,WP  可溼性粉劑,"70% (16,000 IU/mg)",,,中華民國農會附設各級農會農化廠,,118-05-03,,標示,條碼,使用範圍
農藥製              00278,丙基喜樂松,喜稻能,EC  乳劑,48(%) (w/w),,,華夏科學農化股份有限公司,,118-04-14,,標示,條碼,使用範圍
農藥製              00281,果收生長素,保生丹,SL  溶液,1.8(%) (w/w),,A,華夏科學農化股份有限公司,,118-05-05,,標示,條碼,使用範圍
農藥製              00283,馬拉松,美果松,WP  可溼性粉劑,25(%) (w/w),,,興農股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00284,馬拉松,美果松,EC  乳劑,50(%) (w/w),,,興農股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00291,芬殺松,臺益力保山,EC  乳劑,50(%) (w/w),,,臺益工業股份有限公司,,118-02-14,,標示,條碼,使用範圍
農藥製              00311,馬拉松,飛龍掌,EC  乳劑,50(%) (w/w),,,利台化學工業股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00316,馬拉松,綜好殺,EC  乳劑,50(%) (w/w),,,功力化學工業股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00317,馬拉松,馬來松,EC  乳劑,50(%) (w/w),,,安旺特股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00328,加保利,施美文,WP  可溼性粉劑,85(%) (w/w),,,東和化學企業股份有限公司,,118-03-26,,標示,條碼,使用範圍
農藥製              00330,賽滅寧,雷克,EC  乳劑,5(%) (w/w),,,惠光股份有限公司,,118-06-17,,標示,條碼,使用範圍
農藥製              00331,拉草,壓草,EC  乳劑,45.1(%) (w/w),,,興農股份有限公司,,118-08-30,,標示,條碼,使用範圍
農藥製              00354,賽達松,,EC  乳劑,50(%) (w/w),,,利台化學工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00356,撲滅松,富力收,EC  乳劑,50(%) (w/w),,,利台化學工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00357,大利松,大利水手,EC  乳劑,60(%) (w/w),,,利台化學工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00361,丁基拉草,快速除,GR  粒劑,5(%) (w/w),,,臺灣庵原農藥股份有限公司,,118-03-19,,標示,條碼,使用範圍
農藥製              00362,果收生長素,愛果好,SL  溶液,1.8(%) (w/w),,A,東和化學企業股份有限公司,,118-03-26,,標示,條碼,使用範圍
農藥製              00368,賽達松,利農產,EC  乳劑,50(%) (w/w),,,台灣正豐植保股份有限公司,,118-08-04,,標示,條碼,使用範圍
農藥製              00370,拉草,,EC  乳劑,45.1(%) (w/w),,,功力化學工業股份有限公司,,118-08-10,,標示,條碼,使用範圍
農藥製              00372,大滅松,介克拉,EC  乳劑,44(%) (w/w),,,正農化學股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00373,賽達松,,EC  乳劑,50(%) (w/w),,,聯利農業科技股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00374,大利松,惠我農,EC  乳劑,60(%) (w/w),,,漢寶工業有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00380,撲滅松,速美吉隆,EC  乳劑,50(%) (w/w),,,興農股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00381,芬殺松,力拔山,EC  乳劑,50(%) (w/w),,,興農股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00389,芬殺松,立拔山,EW  水基乳劑,50(%) (w/w),,,安旺特股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00391,大利松,泰來松,EW  水基乳劑,56(%) (w/w),,,安旺特股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00393,賽達松,,EC  乳劑,50(%) (w/w),,,安旺特股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00397,滅普寧,百賜達克,WP  可溼性粉劑,75(%) (w/w),,,臺灣庵原農藥股份有限公司,,118-03-31,,標示,條碼,使用範圍
農藥製              00398,四氯異苯腈,大可靈,WP  可溼性粉劑,75(%) (w/w),,,惠光股份有限公司,,118-03-31,,標示,條碼,使用範圍
農藥製              00400,四氯保淨,神雷,WP  可溼性粉劑,70(%) (w/w),,A,日農科技股份有限公司,,118-03-31,,標示,條碼,使用範圍
農藥製              00403,賽滅寧,庵原新滅靈,EC  乳劑,5(%) (w/w),,,臺灣庵原農藥股份有限公司,,118-05-25,,標示,條碼,使用範圍
農藥製              00408,馬拉松,,EC  乳劑,50(%) (w/w),,,臺灣庵原農藥股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00410,撲滅松,一擊郎,EC  乳劑,50(%) (w/w),,,臺灣庵原農藥股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00411,賽達松,愛農產,EC  乳劑,50(%) (w/w),,,臺灣庵原農藥股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00412,大滅松,庵原大滅松,EC  乳劑,44(%) (w/w),,,臺灣庵原農藥股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00424,賽達松,益樂殺,EC  乳劑,50(%) (w/w),,,興農股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00427,大利松,保死淨,GR  粒劑,10(%) (w/w),,,興農股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00433,大利松,保死淨,EC  乳劑,60(%) (w/w),,,興農股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00436,丁拉汰草,田王–８,GR  粒劑,8(%) (w/w),,A,興農股份有限公司,,118-09-09,,標示,條碼,使用範圍
農藥製              00438,益收生長素,易植收,SL  溶液,39.5(%) (w/w),,,日農科技股份有限公司,,118-08-20,,標示,條碼,使用範圍
農藥製              00448,芬佈賜,封殺蟎,WP  可溼性粉劑,50(%) (w/w),,,正農化學股份有限公司,,118-04-08,,標示,條碼,使用範圍
農藥製              00449,培丹,,GR  粒劑,4(%) (w/w),,,興農股份有限公司,,118-04-28,,標示,條碼,使用範圍
農藥製              00455,丁基拉草,,EC  乳劑,32(%) (w/w),,,日農科技股份有限公司,,118-04-28,,標示,條碼,使用範圍
農藥製              00456,免賴得,萬力,WP  可溼性粉劑,50(%) (w/w),,,正農化學股份有限公司,,118-04-28,,標示,條碼,使用範圍
農藥製              00458,快得保淨,,WP  可溼性粉劑,75(%) (w/w),,A,富農化學工業股份有限公司,,118-04-28,,標示,條碼,使用範圍
農藥製              00459,快得寧,億級棒,SC  水懸劑,33.5(%) (w/w),,,富農化學工業股份有限公司,,118-04-28,,標示,條碼,使用範圍
農藥製              00460,快得寧,得寧寶,WP  可溼性粉劑,40(%) (w/w),,,富農化學工業股份有限公司,,118-04-28,,標示,條碼,使用範圍
農藥製              00466,加保利,好速家寶,WP  可溼性粉劑,85(%) (w/w),,,好速化學股份有限公司,,118-09-18,,標示,條碼,使用範圍
農藥製              00468,鋅錳乃浦,好速–４５,WP  可溼性粉劑,80(%) (w/w),,,好速化學股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00469,馬拉松,好馬松,EC  乳劑,50(%) (w/w),,,好速化學股份有限公司,,118-08-04,,標示,條碼,使用範圍
農藥製              00478,毆殺松,速好勝,SP  水溶性粉劑,75(%) (w/w),,,好速化學股份有限公司,,118-08-02,,標示,條碼,使用範圍
農藥製              00482,馬拉松,寶農收,EC  乳劑,50(%) (w/w),,,惠光股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00484,馬拉松,惠光牌馬拉松,WP  可溼性粉劑,25(%) (w/w),,,惠光股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00485,丁基拉草,必好除,GR  粒劑,5(%) (w/w),,,惠光股份有限公司,,118-07-27,,標示,條碼,使用範圍
農藥製              00488,毆殺松,毆特恩,SP  水溶性粉劑,75(%) (w/w),,,光華化學股份有限公司,,118-08-04,,標示,條碼,使用範圍
農藥製              00490,馬拉松,好馬力,EC  乳劑,50(%) (w/w),,,光華化學股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00500,大利松,大利農,EC  乳劑,60(%) (w/w),,,富農化學工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00502,芬殺松,法-財大家賺,EW  水基乳劑,50(%) (w/w),,,大成化學工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00503,賽達松,法-財翔鴻,EW  水基乳劑,50(%) (w/w),,,大成化學工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00541,果收生長素,喜多收,SL  溶液,1.8(%) (w/w),,A,興農股份有限公司,,118-10-01,,標示,條碼,使用範圍
農藥製              00542,嘉磷塞異丙胺鹽,興農春,SL  溶液,41(%) (w/w),,,興農股份有限公司,,118-10-01,,標示,條碼,使用範圍
農藥製              00543,納乃得,興農農特寧,SP  水溶性粉劑,40(%) (w/w),,,興農股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00544,安丹,旺丹,WP  可溼性粉劑,50(%) (w/w),,,興農股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00549,礦物油,美果油,EC  乳劑,95(%) (w/w),,,興農股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00555,賽達松,益農產,UL  超低容量液劑,92(%) (w/w),,,台灣日產化工股份有限公司,,118-05-17,,標示,條碼,使用範圍
農藥製              00557,馬拉松,賜安,EC  乳劑,50(%) (w/w),,,台灣日產化工股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00564,大利松,大力農,EC  乳劑,60(%) (w/w),,,台灣日產化工股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00565,愛殺松,速殺蟎,EC  乳劑,46.5(%) (w/w),,,台灣日產化工股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00566,撲滅松,速美旺,EC  乳劑,50(%) (w/w),,,台灣日產化工股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00568,賽達松,益農產,EC  乳劑,50(%) (w/w),,,台灣日產化工股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00572,礦物油,,EC  乳劑,95(%) (w/w),,,台灣日產化工股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00575,貝芬替,菌絕-８００,WP  可溼性粉劑,60(%) (w/w),,,日農科技股份有限公司,,118-09-09,,標示,條碼,使用範圍
農藥製              00584,礦物油,精鏈油,EC  乳劑,95(%) (w/w),,,嘉泰企業股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00612,加保利,治蟲寶,WP  可溼性粉劑,85(%) (w/w),,,利台化學工業股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00619,礦物油,好果油,EC  乳劑,95(%) (w/w),,,利台化學工業股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00622,三氯松,特可豐,SP  水溶性粉劑,80(%) (w/w),,,利台化學工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00625,益滅松,新好松,WP  可溼性粉劑,50(%) (w/w),,,惠光股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00626,芬殺松,利滅松,EC  乳劑,50(%) (w/w),,,惠光股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00628,賽達松,易樂產,EC  乳劑,50(%) (w/w),,,惠光股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00630,大利松,可利農,EC  乳劑,60(%) (w/w),,,惠光股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00632,撲滅松,永滅蟲,EC  乳劑,50(%) (w/w),,,惠光股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00634,毆殺松,黑仙,SP  水溶性粉劑,75(%) (w/w),,,惠光股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00663,愛殺松,益速寶,EC  乳劑,46.5(%) (w/w),,,國豐化學工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00667,礦物油,旺果油,EC  乳劑,95(%) (w/w),,,安旺特股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00673,礦物油,惠光夏油,EC  乳劑,95(%) (w/w),,,惠光股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00676,汰草龍,田王–９,GR  粒劑,9(%) (w/w),,,興農股份有限公司,,118-05-23,,標示,條碼,使用範圍
農藥製              00680,大滅松,介殼寧,EC  乳劑,44(%) (w/w),,,安旺特股份有限公司,,118-05-23,,標示,條碼,使用範圍
農藥製              00685,愛殺松,大多靈,EC  乳劑,46.5(%) (w/w),,,世大農化工廠股份有限公司,,118-05-23,,標示,條碼,使用範圍
農藥製              00686,百滅寧,大富,UL  超低容量液劑,5(%) (w/w),,,世大農化工廠股份有限公司,,118-05-23,,標示,條碼,使用範圍
農藥製              00687,賽滅松,大家好,EC  乳劑,45(%) (w/w),,A,世大農化工廠股份有限公司,,118-05-23,,標示,條碼,使用範圍
農藥製              00688,毆殺松,沅渼毆殺松,EC  乳劑,25(%) (w/w),,,沅渼生物科技股份有限公司,,118-05-23,,標示,條碼,使用範圍
農藥製              00689,毆殺松,速勝,EC  乳劑,25(%) (w/w),,,臺益工業股份有限公司,,118-05-28,,標示,條碼,使用範圍
農藥製              00695,快得寧,超棒,SC  水懸劑,33.5(%) (w/w),,,光華化學股份有限公司,,118-06-02,,標示,條碼,使用範圍
農藥製              00696,快得寧,樂克寧,SC  水懸劑,33.5(%) (w/w),,,嘉農企業股份有限公司,,118-06-02,,標示,條碼,使用範圍
農藥製              00699,納乃得,青靈得,SP  水溶性粉劑,40(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-06-02,,標示,條碼,使用範圍
農藥製              00701,百滅寧,興農滅多寧,EC  乳劑,10(%) (w/w),,,興農股份有限公司,,118-11-02,,標示,條碼,使用範圍
農藥製              00708,殺丹,,GR  粒劑,10(%) (w/w),,,興農股份有限公司,,118-10-31,,標示,條碼,使用範圍
農藥製              00710,丁基拉草,草全除,GR  粒劑,5(%) (w/w),,,興農股份有限公司,,118-10-31,,標示,條碼,使用範圍
農藥製              00717,草脫淨,亞脫淨,WP  可溼性粉劑,50(%) (w/w),,,興農股份有限公司,,118-10-31,,標示,條碼,使用範圍
農藥製              00719,芬殺松,利百山,EC  乳劑,50(%) (w/w),,,光華化學股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00721,甲基多保淨,好咖,WP  可溼性粉劑,70(%) (w/w),,,光華化學股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00725,免賴得,,WP  可溼性粉劑,50(%) (w/w),,,光華化學股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00735,賽達松,好助手,EC  乳劑,50(%) (w/w),,,臺益工業股份有限公司,,118-05-25,,標示,條碼,使用範圍
農藥製              00737,賽達松,永讚,EC  乳劑,50(%) (w/w),,,沅渼生物科技股份有限公司,,118-05-25,,標示,條碼,使用範圍
農藥製              00765,嘉賜銅,加瑞農,WP  可溼性粉劑,77.5(%) (w/w),,A,大勝化學工業股份有限公司,,118-07-16,,標示,條碼,使用範圍
農藥製              00768,馬拉松,,EC  乳劑,50(%) (w/w),,,大勝化學工業股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00769,庫斯蘇力菌SA-12,貴寶,WP  可溼性粉劑,"70% (16,000 IU/mg)",,,聯利農業科技股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00783,馬拉松,聯馬精,EW  水基乳劑,50(%) (w/w),,,聯利農業科技股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00785,克蠅香,耐久香,SL  溶液,85(%) (w/w),,A,聯利農業科技股份有限公司,,118-07-24,,標示,條碼,使用範圍
農藥製              00790,撲殺熱,,GR  粒劑,4(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-06-23,,標示,條碼,使用範圍
農藥製              00791,腐絕,,SC  水懸劑,41.8(%) (w/w),,,好速化學股份有限公司,,118-06-23,,標示,條碼,使用範圍
農藥製              00792,腐絕,,WP  可溼性粉劑,40(%) (w/w),,,好速化學股份有限公司,,118-06-23,,標示,條碼,使用範圍
農藥製              00801,馬拉松,眾果生,EC  乳劑,50(%) (w/w),,,沅渼生物科技股份有限公司,,118-07-31,,標示,條碼,使用範圍
農藥製              00819,勃激素A3,愛奇靈,WP  可溼性粉劑,3.1(%) (w/w),,,惠光股份有限公司,,118-10-31,,標示,條碼,使用範圍
農藥製              00821,達有龍,克滅草,WP  可溼性粉劑,80(%) (w/w),,,惠光股份有限公司,,118-10-31,,標示,條碼,使用範圍
農藥製              00825,免賴得,再生,WP  可溼性粉劑,50(%) (w/w),,,世大農化工廠股份有限公司,,118-09-18,,標示,條碼,使用範圍
農藥製              00826,百滅寧,吉士能,EC  乳劑,10(%) (w/w),,,世大農化工廠股份有限公司,,118-09-18,,標示,條碼,使用範圍
農藥製              00831,果收生長素,果多,SL  溶液,1.8(%) (w/w),,A,世大農化工廠股份有限公司,,118-09-14,,標示,條碼,使用範圍
農藥製              00843,賽達松,,EC  乳劑,50(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-08-31,,標示,條碼,使用範圍
農藥製              00845,馬拉松,,EC  乳劑,50(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-07-31,,標示,條碼,使用範圍
農藥製              00847,撲滅松,,EC  乳劑,50(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-08-31,,標示,條碼,使用範圍
農藥製              00878,礦物油,富農夏油,EC  乳劑,95(%) (w/w),,,富農化學工業股份有限公司,,118-09-30,,標示,條碼,使用範圍
農藥製              00894,馬拉松,大桔松,EC  乳劑,50(%) (w/w),,,華夏科學農化股份有限公司,,118-10-01,,標示,條碼,使用範圍
農藥製              00895,丁基拉草,滅田草,EC  乳劑,32(%) (w/w),,,華夏科學農化股份有限公司,,118-10-01,,標示,條碼,使用範圍
農藥製              00902,貝芬普寧,治銹靈,WP  可溼性粉劑,75(%) (w/w),,A,臺灣庵原農藥股份有限公司,,118-07-01,,標示,條碼,使用範圍
農藥製              00904,芬殺松,好拔蟲,EC  乳劑,50(%) (w/w),,,好速化學股份有限公司,,118-07-01,,標示,條碼,使用範圍
農藥製              00917,快得寧,世界棒,SC  水懸劑,33.5(%) (w/w),,,臺益工業股份有限公司,,118-07-02,,標示,條碼,使用範圍
農藥製              00918,快得寧,,WP  可溼性粉劑,40(%) (w/w),,,臺益工業股份有限公司,,118-07-02,,標示,條碼,使用範圍
農藥製              00919,快得保淨,快保淨,WP  可溼性粉劑,75(%) (w/w),,A,臺益工業股份有限公司,,118-07-02,,標示,條碼,使用範圍
農藥製              00931,氧化亞銅,,WP  可溼性粉劑,56(%) (w/w),,,惠光股份有限公司,,118-11-30,,標示,條碼,使用範圍
農藥製              00933,鹼性氯氧化銅,高力銅,WP  可溼性粉劑,70(%) (w/w),,,惠光股份有限公司,,118-11-30,,標示,條碼,使用範圍
農藥製              00936,毆蟎多,好滅蟎,EC  乳劑,57(%) (w/w),,,利台化學工業股份有限公司,,118-10-31,,標示,條碼,使用範圍
農藥製              00937,毆蟎多,好滅蟎,WP  可溼性粉劑,30(%) (w/w),,,利台化學工業股份有限公司,,118-10-31,,標示,條碼,使用範圍
農藥製              00942,達有龍,克草必斯,WP  可溼性粉劑,80(%) (w/w),,,利台化學工業股份有限公司,,118-10-31,,標示,條碼,使用範圍
農藥製              00943,草脫淨,,WP  可溼性粉劑,50(%) (w/w),,,利台化學工業股份有限公司,,118-10-31,,標示,條碼,使用範圍
農藥製              00954,丁拉芬諾,東東好,GR  粒劑,6.5(%) (w/w),,A,億豐農化廠股份有限公司,,118-07-08,,標示,條碼,使用範圍
農藥製              00957,愛殺松,安克蟎,EC  乳劑,46.5(%) (w/w),,,嘉泰企業股份有限公司,,118-07-10,,標示,條碼,使用範圍
農藥製              00958,撲滅松,速落松,EC  乳劑,50(%) (w/w),,,嘉泰企業股份有限公司,,118-07-10,,標示,條碼,使用範圍
農藥製              00960,納乃得,嘉福農,SP  水溶性粉劑,40(%) (w/w),,,嘉泰企業股份有限公司,,118-07-10,,標示,條碼,使用範圍
農藥製              00968,毆殺松,速勝,SP  水溶性粉劑,75(%) (w/w),,,臺益工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00969,甲基多保淨,妥普淨,WP  可溼性粉劑,70(%) (w/w),,,臺益工業股份有限公司,,118-08-31,,標示,條碼,使用範圍
農藥製              00971,大利松,新品松,EC  乳劑,60(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-08-31,,標示,條碼,使用範圍
農藥製              00973,芬殺松,,EC  乳劑,50(%) (w/w),,,中華民國農會附設各級農會農化廠,,118-08-31,,標示,條碼,使用範圍
